Description,Total Amount,Profit,Profit Margin (%),Quantity
"PAPER CRAFT , LITTLE BIRDIE",168469.6,84234.8,50.0,80995
REGENCY CAKESTAND 3 TIER,142592.94999999998,71296.47499999999,50.0,12402
WHITE HANGING HEART T-LIGHT HOLDER,100448.15000000001,50224.075000000004,50.0,36725
JUMBO BAG RED RETROSPOT,85220.78,42610.39,50.0,46181
MEDIUM CERAMIC TOP STORAGE JAR,81416.73000000001,40708.365000000005,50.0,77916
POSTAGE,77803.96,38901.98,50.0,3120
PARTY BUNTING,68844.33,34422.165,50.0,15291
ASSORTED COLOUR BIRD ORNAMENT,56580.34,28290.17,50.0,35362
Manual,53779.93,26889.965,50.0,7173
RABBIT NIGHT LIGHT,51346.2,25673.1,50.0,27202
CHILLI LIGHTS,46286.51,23143.255,50.0,9650
PAPER CHAIN KIT 50'S CHRISTMAS ,42660.83,21330.415,50.0,15617
PICNIC BASKET WICKER 60 PIECES,39619.5,19809.75,50.0,61
BLACK RECORD COVER FRAME,39064.55,19532.275,50.0,11406
JUMBO BAG PINK POLKADOT,37289.590000000004,18644.795000000002,50.0,20165
DOORMAT KEEP CALM AND COME IN,35913.85,17956.925,50.0,5342
SPOTTY BUNTING,35539.25,17769.625,50.0,7639
WOOD BLACK BOARD ANT WHITE FINISH,34478.01,17239.005,50.0,5921
SET OF 3 CAKE TINS PANTRY DESIGN ,33347.8,16673.9,50.0,7020
JAM MAKING SET WITH JARS,32662.97,16331.485,50.0,8151
JUMBO BAG STRAWBERRY,30644.2,15322.1,50.0,16807
VICTORIAN GLASS HANGING T-LIGHT,28776.51,14388.255,50.0,22433
HEART OF WICKER LARGE,28520.95,14260.475,50.0,9591
HEART OF WICKER SMALL,28228.64,14114.32,50.0,16775
LUNCH BAG RED RETROSPOT,28048.45,14024.225,50.0,17697
SET OF 3 REGENCY CAKE TINS,26625.68,13312.84,50.0,5856
JUMBO BAG APPLES,26451.260000000002,13225.630000000001,50.0,13887
ALARM CLOCK BAKELIKE RED ,25925.2,12962.6,50.0,7221
PAPER CHAIN KIT VINTAGE CHRISTMAS,25669.27,12834.635,50.0,9433
